原句,分词结果,去掉停用词结果,情感得分
太烂了！很多年没看过这么烂的电影了，已经无法形容烂的程度，开场不到二十分钟我就睡着了，睡醒后离场，浪费钱和时间,太烂/了/！/很多年/没/看过/这么/烂/的/电影/了/，/已经/无法形容/烂/的/程度/，/开场/不到/二十分钟/我/就/睡着/了/，/睡醒/后/离场/，/浪费/钱/和/时间,太烂/很多年/看过/烂/电影/已经/无法形容/烂/程度/开场/不到/二十分钟/睡着/睡醒/后/离场/浪费/钱/时间/,-8.8952226179777
时间冲突没有去看，但是都说好,时间/冲突/没有/去/看/，/但是/都/说好,时间/冲突/说好/,-0.8096768382737
虽没有到达我想要的效果，但算是一个国版科幻的里程碑，支持！,虽/没有/到达/我/想要/的/效果/，/但/算是/一个/国版/科幻/的/里程碑/，/支持/！,到达/想要/效果/算是/一个/国版/科幻/里程碑/支持/,7.7220352686741
很好看的电影，值???,很/好看/的/电影/，/值/?/?/?,好看/电影/值/,2.192543273762
很牛掰的电影。已超越欧美。,很/牛/掰/的/电影/。/已/超越/欧美/。,牛/掰/电影/已/超越/欧美/,5.8598392901250005
非常不好看的科幻片，加油?,非常/不/好看/的/科幻片/，/加油/?,好看/科幻片/加油/,4.23870141186
超赞国产科幻片，技术和情节还有演员的演技都超赞！,超赞/国产/科幻片/，/技术/和/情节/还有/演员/的/演技/都/超赞/！,超赞/国产/科幻片/技术/情节/演员/演技/超赞/,7.7051931123801
挺好的，但有点空,挺/好/的/，/但/有点/空,挺/好/有点/空/,0.208511514917
破电影，恶心，看到头晕眼花。,破/电影/，/恶心/，/看到/头晕眼花/。,破/电影/恶心/看到/头晕眼花/,-7.9617359307871
很棒了，剧情无硬伤，就是特效忽高忽低，不过很棒了，愿国产越来越棒,很棒/了/，/剧情/无/硬伤/，/就是/特效/忽高忽低/，/不过/很棒/了/，/愿/国产/越来越/棒,很棒/剧情/无/硬伤/特效/忽高忽低/很棒/愿/国产/越来越/棒/,-7.493987180896001
很感人很震撼,很/感人/很/震撼,感人/震撼/,1.452546411285
